sample	standard_curve	ngml_av	se_mean	flag
87488.1 Colon	MoPrP16	1.28	0	LLQ
87488.1 Colon 	MoPrP16	1.28	0	LLQ
87488.1 Heart	MoPrP16	1.28	0	LLQ
87488.1 Quad	MoPrP16	1.28	0	LLQ
87488.1 Spleen	MoPrP16	1.606	0.62	
87488.1 Uterus	MoPrP16	1.316	0.343	
91831.1 Colon	MoPrP16	9.251	2.004	
91831.1 Heart	MoPrP16	2.772	0.316	
91831.1 Quad	MoPrP16	2.211	0.02	
91831.1 Spleen	MoPrP16	5.722	1.102	
91831.1 Uterus	MoPrP16	7.081	1.276	
MoNeg	MoPrP16	10.24	0	LLQ
MoQCPosHi	MoPrP16	108.562	0.111	
MoQCPosLo	MoPrP16	13.821	0.513	
MoQCPosMid	MoPrP16	70.134	0.442	
