plate	row	col	a450_bck	stype	detail	dilution	standard_curve	above_baseline	nominal	ngml	ngml_trunc	flag
NA	A	1	2.808	standard	5	1	MoPrP18	TRUE	5	4.843	4.843	
NA	A	2	2.882	standard	5	1	MoPrP18	TRUE	5	5.228	5	ULQ
NA	A	3	0.328	sample	1	200	MoPrP18	TRUE	NA	42.711	42.711	
NA	A	4	0.313	sample	1	200	MoPrP18	TRUE	NA	40.641	40.641	
NA	A	5	0.099	sample	11	200	MoPrP18	TRUE	NA	12.858	12.858	
NA	A	6	0.091	sample	11	200	MoPrP18	TRUE	NA	11.881	11.881	
NA	A	7	0.359	sample	38	200	MoPrP18	TRUE	NA	47.042	47.042	
NA	A	8	0.356	sample	38	200	MoPrP18	TRUE	NA	46.619	46.619	
NA	A	9	0.325	sample	72	200	MoPrP18	TRUE	NA	42.296	42.296	
NA	A	10	0.355	sample	72	200	MoPrP18	TRUE	NA	46.479	46.479	
NA	B	1	1.843	standard	2	1	MoPrP18	TRUE	2	1.929	1.929	
NA	B	2	1.872	standard	2	1	MoPrP18	TRUE	2	1.983	1.983	
NA	B	3	0.242	sample	3	200	MoPrP18	TRUE	NA	31.066	31.066	
NA	B	4	0.255	sample	3	200	MoPrP18	TRUE	NA	32.792	32.792	
NA	B	5	0.098	sample	13	200	MoPrP18	TRUE	NA	12.736	12.736	
NA	B	6	0.082	sample	13	200	MoPrP18	TRUE	NA	10.788	10.788	
NA	B	7	0.262	sample	79	200	MoPrP18	TRUE	NA	33.727	33.727	
NA	B	8	0.271	sample	79	200	MoPrP18	TRUE	NA	34.933	34.933	
NA	B	9	0.273	sample	74	200	MoPrP18	TRUE	NA	35.202	35.202	
NA	B	10	0.273	sample	74	200	MoPrP18	TRUE	NA	35.202	35.202	
NA	C	1	1.056	standard	0.8	1	MoPrP18	TRUE	0.8	0.836	0.836	
NA	C	2	1.065	standard	0.8	1	MoPrP18	TRUE	0.8	0.845	0.845	
NA	C	3	0.238	sample	5	200	MoPrP18	TRUE	NA	30.537	30.537	
NA	C	4	0.239	sample	5	200	MoPrP18	TRUE	NA	30.669	30.669	
NA	C	5	0.11	sample	15	200	MoPrP18	TRUE	NA	14.208	14.208	
NA	C	6	0.108	sample	15	200	MoPrP18	TRUE	NA	13.962	13.962	
NA	C	7	0.176	sample	47	200	MoPrP18	TRUE	NA	22.486	22.486	
NA	C	8	0.168	sample	47	200	MoPrP18	TRUE	NA	21.466	21.466	
NA	C	9	0.252	sample	70	200	MoPrP18	TRUE	NA	32.393	32.393	
NA	C	10	0.25	sample	70	200	MoPrP18	TRUE	NA	32.127	32.127	
NA	D	1	0.471	standard	0.32	1	MoPrP18	TRUE	0.32	0.317	0.317	
NA	D	2	0.438	standard	0.32	1	MoPrP18	TRUE	0.32	0.292	0.292	
NA	D	3	0.263	sample	76	200	MoPrP18	TRUE	NA	33.86	33.86	
NA	D	4	0.266	sample	76	200	MoPrP18	TRUE	NA	34.262	34.262	
NA	D	5	0.083	sample	17	200	MoPrP18	TRUE	NA	10.909	10.909	
NA	D	6	0.086	sample	17	200	MoPrP18	TRUE	NA	11.273	11.273	
NA	D	7	0.165	sample	49	200	MoPrP18	TRUE	NA	21.085	21.085	
NA	D	8	0.15	sample	49	200	MoPrP18	TRUE	NA	19.189	19.189	
NA	D	9	0.304	sample	MoPosHiQC	200	MoPrP18	TRUE	NA	39.407	39.407	
NA	D	10	0.282	sample	MoPosHiQC	200	MoPrP18	TRUE	NA	36.416	36.416	
NA	E	1	0.199	standard	0.128	1	MoPrP18	TRUE	0.128	0.127	0.127	
NA	E	2	0.183	standard	0.128	1	MoPrP18	TRUE	0.128	0.117	0.117	
NA	E	3	0.228	sample	21	200	MoPrP18	TRUE	NA	29.221	29.221	
NA	E	4	0.224	sample	21	200	MoPrP18	TRUE	NA	28.696	28.696	
NA	E	5	0.098	sample	28	200	MoPrP18	TRUE	NA	12.736	12.736	
