mouse	rna
19	1.023048148
20	1.075822741
38	0.955891128
22	1.007779424
23	0.992670836
26	0.978106048
1	1.021609961
2	1.029207032
3	1.009548119
4	1.009087677
5	0.914202126
6	0.98302676
72	0.375927442
73	0.501291509
74	0.458360101
75	0.511801736
76	0.422128109
78	0.478503124
63	0.330518103
64	0.300370851
65	0.336282563
70	0.318316834
71	0.318256845
79	0.331059046
56	0.332352787
58	0.294615553
59	0.372256483
60	0.344876318
61	0.379655119
62	0.402077614
44	0.306378676
46	0.31420402
47	0.321281097
48	0.325328931
49	0.362011609
50	0.330707963
28	0.315592094
29	0.290271693
30	0.266104974
33	0.254358089
34	0.247232282
35	0.265684623
13	0.296686195
14	0.300207742
15	0.314606228
16	0.262320972
17	0.29219623
18	0.319194139
7	0.271173478
8	0.236359935
9	0.326245273
10	0.28367886
11	0.312628483
12	0.262502795
