animal	day	light	heavy
1	0	5.210546497815966	NA
2	0	6.614700357773036	NA
3	0	7.5456348473504145	NA
4	0	5.626566506901083	0.3341705742
5	0	5.284024623316821	NA
6	0	4.926666768309844	NA
7	0	4.405534047106735	NA
8	0	4.526360944386229	NA
9	2	3.77105112215347	0.212914817172
11	2	3.6845369593481436	0.184170454104
12	2	4.099553755216338	0.132485007192
13	2	5.142339377014328	0.17573846863200002
14	2	4.303258814170821	0.217009767348
15	2	3.6109882782013587	NA
16	2	3.0687177346507384	0.123014809908
17	4	3.0972419321056215	0.43797176913600006
18	4	3.8450403343234405	0.385118717748
19	4	2.892649082400634	0.27100694527200003
20	4	3.464821831158346	0.4163671173120001
21	4	2.9002790137036176	0.442440992424
22	4	3.1204064672710614	0.35665313124000003
23	4	2.626576499386273	0.26538630904800004
24	4	3.891877957380933	0.515527265436
25	6	3.0559066467145346	0.715865232912
26	6	3.1734914512733177	0.5191094503920001
27	6	3.0309015025285344	0.6117300608640001
28	6	3.0589464965127338	0.56653062858
29	6	3.872662171357632	0.890891008824
30	6	3.9948724757976204	0.7811360070240001
31	6	2.9730317413338025	0.41022366588
32	6	3.2282281178458825	0.682896038484
33	8	3.5282930760639792	1.076645492616
34	8	2.163509872145844	0.408114457872
35	8	2.7432212667735434	0.51363621252
36	8	2.9249174764674555	0.7218578597280001
37	8	2.8355507896451715	0.78212492772
38	8	3.597624417541828	1.0177583534160002
39	8	3.107841035676569	0.937155177072
40	8	3.1020735526303755	0.880209945168
