gene	cortex	cerebellum
Serpina1e	0.173286801848896	0.173453496445461
Tf	0.17328696023273	0.92137498280565
Ttr	0.173288723641255	0.173297626672725
Fgg	0.173299937113549	0.173288083734136
Cnbp	0.173346918437701	3.20939009005163
Acsl4	0.173369823752002	NA
Serpina1d	0.17342494148774	0.173300458402094
Sorl1	0.173481165473055	1.98478250787393
Coro2a	0.173519594028725	NA
Ddx6	0.173655925921415	5.11111058283079
Acbd3	0.173686884433857	4.56009104689818
Serpina1c	0.173881314788405	0.173339208921112
Ptprn2	0.174200176466757	NA
Mug1	0.174598477339889	0.173359186536498
Gtf2i	0.175124270318412	2.26572707640492
Wdr82	0.177096279581729	2.79548325842401
Fmr1	0.188227105617719	4.42574951374281
Raly	0.333852134713558	4.72728755085817
Acsl3	0.346444093283995	3.65527552509219
Serpina3k	0.697191601584523	0.173286865659673
Srprb	0.826598175138603	3.4331378293493
Slc39a10	0.843147957454325	NA
Ptgds	0.85146348994223	1.29137291022989
Prpf6	1.0236410177057	2.25437315462496
Arhgap5	1.14904785403993	4.39464451448017
Anp32b	1.27833527683342	7.62947487131026
Hpx	1.29537628071978	1.36394804396854
Pzp	1.36513048278425	1.29193265220654
Smarcd1	1.38764053517268	NA
Ranbp2	1.42479388887117	2.89272944232804
Sparcl1	1.5878108381615	2.13790626032907
Itm2c	1.7730269875771	NA
Cst3	1.7975077111028	1.78567251435253
Clstn1	1.82238450713084	2.88642658186606
Rangap1	1.82909512015814	3.60151996904075
Edf1	1.84625656076529	2.02179788790228
Clu	1.89166255346176	1.75456677850216
App	1.91173840891734	2.00593994284251
Pld3	1.91456238788418	NA
Kif1a	1.91504814436967	2.00061864597442
Atxn10	1.95205020835724	2.30764530707535
Mapk8ip3	2.00543820887756	2.77724777054367
Zfr	2.06306060377324	3.73689768914323
Ddx5	2.07019293301621	2.56376145734992
Ndrg4	2.10730516587124	2.12712893935178
Sf3b6	2.12110764929458	3.69091079389468
Nptxr	2.12952264629018	NA
Pfdn2	2.15079762602488	2.78668388446975
Rbfox1	2.16101759307495	3.34452240804257
Wdfy3	2.16225031237488	2.47150985945118
Cpe	2.16810338718892	2.18608242388041
Sort1	2.17706486653599	0.181277754170359
Prepl	2.19191204657984	1.98796289110193
Alb	2.19652675770801	2.21036604756972
Rnf14	2.23535136393458	3.01411746953473
Ythdf1	2.26378888422889	2.94910177483249
Snap47	2.28979513396447	2.46940246009862
Sphkap	2.33167968672497	3.12091026227752
Cbx5	2.34937256581902	4.75334375422621
Serbp1	2.35995557351332	2.78562016833016
Cdc5l	2.36726863152563	3.61941127858575
Rbbp4	2.37006963404038	3.88033502322222
Lrp1	2.37266247048841	2.16454855987263
Emc7	2.37619244815668	2.63112499490555
Ythdf3	2.37806410517257	NA
Asns	2.38123570959464	3.3621400909092
Nedd4	2.39102666522603	2.31957386147221
Cab39l	2.42405847674556	3.34512233554348
Ddx46	2.45749249621882	5.3815089610322
Strbp	2.45841335528909	3.49333668037456
Drg1	2.45940606355871	4.31745170353491
Ik	2.46505904945144	2.10765504150179
Hspb1	2.48884964783303	2.30622225192488
Csnk1a1	2.49574677732067	2.56530474041549
Prex1	2.4987682672719	4.68339467224403
Puf60	2.51317077574492	3.31105461058459
Rbm39	2.51703527317542	4.69871018878875
Ndrg3	2.52973958697933	2.82446090238115
Sema7a	2.5377540223855	3.37811255994836
Cavin1	2.5381553485035	5.53547367733115
Huwe1	2.54438649417077	4.82869348392134
Sf3b1	2.5637272952149	3.91973351233341
Prrc2c	2.56547554487604	3.55339767550604
Fry	2.5767578754672	3.48908267927933
Sbds	2.58004268100239	2.84785006014274
Cpd	2.58323402104877	NA
Smarca2	2.61700540947204	3.08139691684624
Pdxdc1	2.62056321022963	2.68100934453114
Caprin1	2.62139430414592	2.5607186084813
Lamp1	2.62938854883137	2.40388408672315
Rab6a	2.63231436614084	3.72421757660505
Glg1	2.64057177042489	2.8449439925077
Impact	2.65337127586829	2.52441001273976
Birc6	2.6966135686424	2.83842858997768
Snrnp200	2.71128175105072	3.93359592890822
Eif1ax	2.71559351883303	3.54194159161787
Stmn3	2.73874619164149	1.91458094061253
Cirbp	2.74400946907734	5.54812714708261
Top1	2.74746323350502	5.16992165856341
Usp15	2.75598355475546	2.26992910626332
Ddx3y	2.75719199687422	2.67756027306171
Ngef	2.76078163511491	NA
Sult4a1	2.77278922214404	3.06261988332039
Emc1	2.77600821017076	3.19735555115898
Rab6b	2.77755236786207	3.63778072810391
Hdlbp	2.77776134411612	2.52711956146586
Dock3	2.78218916155934	3.54799961076941
Acin1	2.78822825136372	6.57081429652098
Dnajc8	2.80314244864515	5.01381063167975
Tomm34	2.81514795003265	3.85366176310804
Rnf214	2.8198268526854	NA
Cyp46a1	2.8275700730757	NA
Snx3	2.84186300231475	3.30572208677446
Rbm25	2.84197142768441	5.98396767376802
Ranbp3	2.8427026752905	5.04546314050384
Eif4g1	2.86899739924778	2.76028521910234
