chrom	pos	depth
20	4571044	1
20	4571045	1
20	4571046	1
20	4571047	1
20	4571048	1
20	4571049	1
20	4571050	1
20	4571051	1
20	4571052	1
20	4571053	1
20	4571054	1
20	4571055	1
20	4571056	1
20	4571057	1
20	4571058	1
20	4571059	1
20	4571060	1
20	4571061	1
20	4571062	1
20	4571063	1
20	4571064	1
20	4571065	1
20	4571066	1
20	4571067	1
20	4571068	1
20	4571069	1
20	4571070	1
20	4571071	1
20	4571072	1
20	4571073	1
20	4571074	1
20	4571075	1
20	4571076	1
20	4571077	1
20	4571078	1
20	4571263	1
20	4571264	1
20	4571265	1
20	4571266	1
20	4571267	1
20	4571268	1
20	4571269	1
20	4571270	1
20	4571271	1
20	4571272	1
20	4571273	1
20	4571274	1
20	4571275	1
20	4571276	1
20	4571277	1
20	4571278	1
20	4571279	1
20	4571280	1
20	4571281	1
20	4571282	1
20	4571283	1
20	4571284	1
20	4571285	1
20	4571286	1
20	4571287	1
20	4571288	1
20	4571289	1
20	4571290	1
20	4571291	1
20	4571292	1
20	4571293	1
20	4571294	1
20	4571295	1
20	4571296	1
20	4571297	1
20	4571298	1
20	4571299	1
20	4571300	1
20	4571301	1
20	4571302	1
20	4571303	1
20	4571304	1
20	4571305	1
20	4571306	1
20	4571307	1
20	4571308	1
20	4571309	1
20	4571310	1
20	4571311	1
20	4571312	1
20	4571313	1
20	4571314	1
20	4571315	1
20	4571316	1
20	4571317	1
20	4571318	1
20	4571319	1
20	4571320	1
20	4571321	1
20	4571322	1
20	4571323	1
20	4571324	1
20	4571325	1
20	4571326	1
20	4571327	1
20	4571328	1
20	4571329	1
20	4571330	1
20	4571331	1
20	4571332	1
20	4571333	1
20	4571334	1
20	4571335	1
20	4571336	1
20	4571337	1
20	4571338	1
20	4571339	1
20	4571340	1
20	4571341	1
20	4571342	1
20	4571343	1
20	4571344	1
20	4571345	1
20	4571346	1
20	4571347	1
20	4571348	1
20	4571349	1
20	4571350	1
20	4571351	1
20	4571352	1
20	4571353	1
20	4571354	1
20	4571355	1
20	4571356	1
20	4571357	1
20	4571358	1
20	4571359	1
20	4571360	1
20	4571361	1
20	4571362	1
20	4571363	1
20	4571364	1
20	4571365	1
20	4571366	1
20	4571367	1
20	4571368	1
20	4571369	1
20	4571370	1
20	4571371	1
20	4571372	1
20	4571373	1
20	4571374	1
20	4571375	1
20	4571376	1
20	4571377	1
20	4571378	1
20	4571379	1
20	4571380	1
20	4571381	1
20	4571382	1
20	4571383	1
20	4571384	1
20	4571385	1
20	4571386	1
20	4571387	1
20	4571388	1
20	4571389	1
20	4571390	1
20	4571391	1
20	4571392	1
20	4571393	1
20	4571394	1
20	4571395	1
20	4571396	1
20	4571397	1
20	4571398	1
20	4571399	1
20	4571400	1
20	4571401	1
20	4571402	1
